BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;ANZAHL_PERSONEN
4461;Amriswil;2011;Bezirk Arbon;2024;14825
4406;Dozwil;2011;Bezirk Arbon;2024;725
4451;Uttwil;2011;Bezirk Arbon;2024;1909
4801;Berlingen;2012;Bezirk Frauenfeld;2024;955
4811;Herdern;2012;Bezirk Frauenfeld;2024;1162
4590;Hüttlingen;2012;Bezirk Frauenfeld;2024;903
4821;Hüttwilen;2012;Bezirk Frauenfeld;2024;1758
4826;Mammern;2012;Bezirk Frauenfeld;2024;696
4591;Matzingen;2012;Bezirk Frauenfeld;2024;3130
4841;Pfyn;2012;Bezirk Frauenfeld;2024;2246
4864;Steckborn;2012;Bezirk Frauenfeld;2024;4021
4606;Stettfurt;2012;Bezirk Frauenfeld;2024;1276
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2024;1138
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2024;1470
4641;Altnau;2013;Bezirk Kreuzlingen;2024;2338
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2024;23218
4716;Bettwiesen;2014;Bezirk Münchwilen;2024;1330
4761;Sirnach;2014;Bezirk Münchwilen;2024;8127
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2024;1714
4781;Wängi;2014;Bezirk Münchwilen;2024;5021
4711;Affeltrangen;2015;Bezirk Weinfelden;2024;2865
4891;Berg;2015;Bezirk Weinfelden;2024;3557
4471;Bischofszell;2015;Bezirk Weinfelden;2024;6365
4921;Bussnang;2015;Bezirk Weinfelden;2024;2592
4911;Bürglen;2015;Bezirk Weinfelden;2024;4141
4426;Kesswil;2011;Bezirk Arbon;2024;1000
4436;Romanshorn;2011;Bezirk Arbon;2024;11775
4441;Salmsach;2011;Bezirk Arbon;2024;1621
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2024;3213
4571;Gachnang;2012;Bezirk Frauenfeld;2024;4595
4816;Homburg;2012;Bezirk Frauenfeld;2024;1571
4831;Müllheim;2012;Bezirk Frauenfeld;2024;3315
4601;Neunforn;2012;Bezirk Frauenfeld;2024;1104
4611;Thundorf;2012;Bezirk Frauenfeld;2024;1729
4871;Wagenhausen;2012;Bezirk Frauenfeld;2024;1833
4643;Bottighofen;2013;Bezirk Kreuzlingen;2024;2689
4646;Ermatingen;2013;Bezirk Kreuzlingen;2024;3764
4666;Kemmental;2013;Bezirk Kreuzlingen;2024;2807
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2024;1500
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2024;3631
4701;Wäldi;2013;Bezirk Kreuzlingen;2024;1155
4551;Aadorf;2014;Bezirk Münchwilen;2024;9737
4723;Braunau;2014;Bezirk Münchwilen;2024;897
4726;Fischingen;2014;Bezirk Münchwilen;2024;2995
4786;Wilen;2014;Bezirk Münchwilen;2024;2477
4476;Erlen;2015;Bezirk Weinfelden;2024;3944
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2024;2082
4941;Märstetten;2015;Bezirk Weinfelden;2024;2981
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2024;867
4946;Weinfelden;2015;Bezirk Weinfelden;2024;12393
4401;Arbon;2011;Bezirk Arbon;2024;16207
4411;Egnach;2011;Bezirk Arbon;2024;5134
4416;Hefenhofen;2011;Bezirk Arbon;2024;1304
4421;Horn;2011;Bezirk Arbon;2024;3148
4431;Roggwil;2011;Bezirk Arbon;2024;3415
4446;Sommeri;2011;Bezirk Arbon;2024;669
